symbol;name;sector;sub_sector;
1155;Malayan Banking Berhad;Financials;Banks;
1023;CIMB Group Holdings Berhad;Financials;Banks;
1295;Public Bank Berhad;Financials;Banks;
5225;IHH Healthcare Berhad;Healthcare;Healthcare Equipment & Providers;
5347;Tenaga Nasional Berhad;Infrastructures;Utilities;
8869;Press Metal Aluminium Holdings Berhad;Basic Materials;Basic Materials;
5819;Hong Leong Bank Berhad;Financials;Banks;
6947;Celcomdigi Berhad;Infrastructures;Telecommunication;
5211;Sunway Berhad;Industrials;Multi-sector Holdings;
5285;SD Guthrie Berhad;Consumer Non-Cyclicals;Food & Beverage;
6033;PETRONAS Gas Berhad;Infrastructures;Utilities;
3816;MISC Berhad;Industrials;Industrial Goods;
1066;RHB Bank Berhad;Financials;Banks;
5398;Gamuda Berhad;Industrials;Industrial Services;
6012;Maxis Berhad;Infrastructures;Telecommunication;
4863;Telekom Malaysia Berhad;Infrastructures;Telecommunication;
6742;YTL Power International Berhad;Infrastructures;Utilities;
4707;Nestlé (Malaysia) Berhad;Consumer Non-Cyclicals;Food & Beverage;
1961;IOI Corporation Berhad;Consumer Non-Cyclicals;Food & Beverage;
5183;PETRONAS Chemicals Group Berhad;Basic Materials;Basic Materials;
4677;YTL Corporation Berhad;Infrastructures;Utilities;
6888;Axiata Group Berhad;Infrastructures;Telecommunication;
2445;Kuala Lumpur Kepong Berhad;Basic Materials;Basic Materials;
1082;Hong Leong Financial Group Berhad;Financials;Banks;
1015;AMMB Holdings Berhad;Financials;Banks;
5681;PETRONAS Dagangan Berhad;Energy;Oil, Gas & Coal;
5246;Westports Holdings Berhad;Infrastructures;Transportation Infrastructure;
2089;United Plantations Berhad;Consumer Non-Cyclicals;Food & Beverage;
5235SS;KLCC Property Holdings Berhad;REIT;REIT - Diversified;
7084;QL Resources Berhad;Consumer Non-Cyclicals;Food & Beverage;
5249;IOI Properties Group Berhad;Properties & Real Estate;Properties & Real Estate;
4065;PPB Group Berhad;Industrials;Multi-sector Holdings;
5296;Mr D.I.Y. Group (M) Berhad;Consumer Cyclicals;Retailing;
4197;PPB Group Berhad;Industrials;Multi-sector Holdings;
3689;Fraser & Neave Holdings Bhd;Consumer Non-Cyclicals;Food & Beverage;
4715;Genting Malaysia Berhad;Consumer Cyclicals;Media & Entertainment;
3182;Genting Berhad;Industrials;Multi-sector Holdings;
5878;KPJ Healthcare Berhad;Healthcare;Healthcare Equipment & Providers;
5277;IGB Real Estate Investment Trust;REIT;REIT - Retail;
5031;TIME dotCom Berhad;Technology;Software & IT Services;
7277;Dialog Group Berhad;Energy;Oil, Gas & Coal;
5288;Sime Darby Property Berhad;Properties & Real Estate;Properties & Real Estate;
3794;Malayan Cement Berhad;Basic Materials;Basic Materials;
2488;Alliance Bank Malaysia Berhad;Financials;Banks;
97;ViTrox Corporation Berhad;Technology;Technology Hardware & Equipment;
5263;Sunway Construction Group Berhad;Infrastructures;Heavy Constructions & Civil Engineering;
3336;IJM Corporation Berhad;Infrastructures;Heavy Constructions & Civil Engineering;
1899;Batu Kawan Berhad;Basic Materials;Basic Materials;
5176;Sunway Real Estate Investment Trust;Infrastructures;Utilities;
5273;Chin Hin Group Berhad;Industrials;Industrial Goods;
